,Title,Author,Release date,Price $
161,The Secret Diary of Laura Palmer (Twin Peaks),Jennifer Lynch,05-02-17,17
162,Storyworthy,Matthew Dicks,08-27-18,26
163,Last Chance Texaco,Rickie Lee Jones,04-13-21,28
164,All About Me!,Mel Brooks,11-30-21,19
165,The Greatest Love Story Ever Told,Megan Mullally,10-02-18,18
166,Genius of Place,Justin Martin,02-18-14,24
167,Little Girl Blue,Randy L. Schmidt,10-29-13,22
168,What Does This Button Do?,Bruce Dickinson,10-31-17,32
169,"When I Stop Talking, You'll Know I'm Dead",Jerry Weintraub,04-07-10,16
170,Trouble Boys,Bob Mehr,06-06-17,30
171,The Way of Qigong,Kenneth S. Cohen,12-24-09,9
172,The Wrecking Crew,Kent Hartman,06-18-12,21
173,The Science of Storytelling,Will Storr,03-10-20,30
174,Adventures in the Screen Trade,William Goldman,06-21-22,22
175,Home Work,Julie Andrews,10-15-19,17
176,Failure Is an Option,H. Jon Benjamin,05-01-18,14
177,Don Rickles,Michael Seth Starr,10-25-22,18
178,It Was All a Dream,Justin Tinsley,05-24-22,15
179,Con/Artist,Tony Tetro,11-22-22,29
180,The Lives of Brian,Brian Johnson,10-25-22,26
181,A Doll House,Henrik Ibsen,01-17-12,6
182,Waylon,Waylon Jennings,12-16-99,14
183,Let's Go (So We Can Get Back),Jeff Tweedy,11-13-18,28
184,Minor Feelings,Cathy Park Hong,02-25-20,16
185,Blowing the Bloody Doors Off,Michael Caine,10-23-18,21
186,Muppets in Moscow,Natasha Lance Rogoff,10-17-22,22
187,Save the Cat!,Blake Snyder,05-29-18,30
188,The Anti-Cool Girl,Rosie Waterland,03-27-19,23
189,Can't Stop Won't Stop,Jeff Chang,08-02-16,27
190,I Am Brian Wilson,Brian Wilson,10-11-16,22
191,Effortless Mastery,Kenny Werner,08-20-21,17
192,Woke Up This Morning,Michael Imperioli,11-02-21,36
193,Tinderbox,James Andrew Miller,11-23-21,39
194,Lessons from Madame Chic,Jennifer L. Scott,06-24-13,18
195,A Natural Woman,Carole King,04-10-12,16
196,Sellout,Dan Ozzi,10-26-21,36
197,Killing the Legends,Bill O'Reilly,09-27-22,26
198,Hollywood: The Oral History,Jeanine Basinger,11-08-22,32
199,Pictures at a Revolution,Mark Harris,03-19-08,26
200,Beastie Boys Book,Michael Diamond,10-30-18,35
201,The Woman I Wanted to Be,Diane von Furstenberg,10-28-14,17
202,Tower of Basel,Adam LeBor,05-28-13,22
203,Chuck Berry,RJ Smith,11-08-22,21
204,The Marathon Don't Stop,Rob Kenner,03-23-21,18
205,Greenlights,Matthew McConaughey,10-20-20,24
206,Argo,Antonio Mendez,09-13-12,16
207,Mozart,Jan Swafford,12-08-20,59
208,Brunelleschi's Dome,Ross King,07-21-20,17
209,One Train Later,Andy Summers,03-10-23,25
210,The Practice of Practice: Get Better Faster,Jonathan Harnum,11-04-15,17
211,Dilla Time,Dan Charnas,02-01-22,31
212,Directed by James Burrows,James Burrows,06-07-22,15
213,Playing with Myself,Randy Rainbow,04-19-22,15
214,The Rest Is Noise,Alex Ross,12-10-07,35
215,Kicking and Dreaming,Ann Wilson,09-18-12,24
216,Kind Is the New Classy,Candace Cameron Bure,04-24-18,21
217,Music Is History,Ahmir Khalib Thompson,10-19-21,28
218,Black Is the New White,Paul Mooney,04-08-21,12
219,The Secret Lives of Color,Kassia St. Clair,09-01-20,16
220,Nöthin' but a Good Time,Tom Beaujour,03-16-21,26
221,Ninth Street Women,Mary Gabriel,02-19-19,32
222,May I Have Your Attention Please?,James Corden,09-29-11,15
223,The Tastemaker,Tony King,01-31-23,33
224,Music Theory: from Absolute Beginner to Expert,Nicolas Carter,12-08-16,6
225,Almost Interesting,David Spade,10-27-15,25
226,Everyone You Hate Is Going to Die,Daniel Sloss,10-12-21,17
227,Art Money Success: Finally Make Money Doing What You Love,Maria Brophy,10-24-18,17
228,The Birth of Loud,Ian S. Port,01-15-19,18
229,Producer to Producer,Maureen A. Ryan,06-23-20,30
230,Planet Narnia,Michael Ward,06-18-19,21
231,Picasso's War,Hugh Eakin,07-12-22,35
232,Waxing On,Ralph Macchio,10-18-22,18
233,Surrender,Bono,11-01-22,48
234,Born to Run,Bruce Springsteen,12-06-16,17
235,A Dream About Lightning Bugs,Ben Folds,07-30-19,18
236,My Happy Days in Hollywood,Garry Marshall,04-24-12,28
237,Batman and Psychology,Travis Langley,05-05-20,30
238,I Exaggerate,Kevin Nealon,10-25-22,30
239,How to Land an A330 Airbus,James May,09-09-10,16
240,The Art of Rivalry,Sebastian Smee,09-27-16,22
241,Step By Step Mixing,Bjorgvin Benediktsson,07-02-21,13
242,Eruption,Brad Tolinski,10-05-21,32
243,The Merchant of Venice,William Shakespeare,05-09-14,12
244,How to Do Nothing,Jenny Odell,05-07-19,17
245,Scar Tissue,Anthony Kiedis,05-01-12,24
246,Dear Theo,Irving Stone,05-21-12,21
247,"Me, the Mob, and the Music",Tommy James,03-04-10,18
248,God Only Knows,David Leaf,03-21-23,24
249,Some New Kind of Kick,Kid Congo Powers,10-18-22,21
250,Wonderful Tonight,Pattie Boyd,08-09-07,10
251,Van Gogh,Steven Naifeh,05-28-19,30
252,Camera Man,Dana Stevens,01-25-22,19
253,How to Write Funny,Scott Dikkers,12-28-18,13
254,Dreaming the Beatles,Rob Sheffield,04-25-17,24
255,An Actor Prepares,Constantin Stanislavski,01-02-20,22
256,Let Love Rule,Lenny Kravitz,10-06-20,19
257,Lords of Chaos,Michael Moynihan,05-14-19,22
258,Unknown Pleasures,Peter Hook,01-29-13,21
259,Heaven and Hell,Don Felder,06-26-20,30
260,Girls to the Front,Sara Marcus,08-30-17,24
261,Magicians of the Gods,Graham Hancock,11-10-15,26
262,Writing for Emotional Impact,Karl Iglesias,03-26-20,17
263,There's More to Life than This,Theresa Caputo,10-01-13,21
264,"Yours Cruelly, Elvira",Cassandra Peterson,09-21-21,21
265,From Staircase to Stage,Raekwon,11-30-21,18
266,The Heroin Diaries: 10 Year Anniversary Edition,Nikki Sixx,10-24-17,15
267,Thelonious Monk,Robin DG Kelley,10-03-17,43
268,The Soundtrack of My Life,Clive Davis,02-19-13,27
269,Boom,Michael Shnayerson,05-21-19,21
270,Mustaine,Dave Mustaine,08-17-10,24
271,Iron Man: My Journey through Heaven and Hell with Black Sabbath,Tony Iommi,12-11-12,22
272,Kathy Griffin's Celebrity Run-Ins,Kathy Griffin,11-22-16,28
273,How to Write One Song,Jeff Tweedy,10-13-20,21
274,The Andy Cohen Diaries,Andy Cohen,11-11-14,26
275,The Dark Side of Genius,Donald Spoto,08-22-12,24
276,But Have You Read the Book?,Kristen Lopez,03-07-23,22
277,Palaces for the People,Eric Klinenberg,09-11-18,18
278,Hunger Makes Me a Modern Girl,Carrie Brownstein,10-27-15,16
279,Letterman,Jason Zinoman,04-11-17,14
280,The Ride of a Lifetime,Robert Iger,09-23-19,15
281,Open Book,Jessica Simpson,02-04-20,27
282,Coreyography,Corey Feldman,10-29-13,17
283,It Came from the Closet,Joe Vallese - editor,10-04-22,29
284,Corporate Rock Sucks,Jim Ruland,04-12-22,21
285,They Call Me Baba Booey,Gary Dell'Abate,11-02-10,17
286,In Such Good Company,Carol Burnett,09-13-16,16
287,Easily Slip into Another World,Henry Threadgill,05-16-23,32
288,The Lady in Gold,Anne-Marie O'Connor,12-24-12,27
289,Fashionopolis,Dana Thomas,09-03-19,18
290,The 99% Invisible City,Kurt Kohlstedt,10-06-20,19
291,Janis,Holly George-Warren,10-22-19,19
292,World in My Eyes: The Autobiography,Richard Blade,09-28-18,22
293,Mercury and Me,Jim Hutton,01-29-19,30
294,Life,Keith Richards,10-26-10,34
295,Phish,Parke Puterbaugh,11-14-17,21
296,Jerry Lee Lewis: His Own Story,Rick Bragg,10-28-14,16
297,Rembrandt Is in the Wind,Russ Ramsey,03-22-22,21
298,Audition,Michael Shurtleff,01-07-20,17
299,Reckless Daughter,David Yaffe,10-17-17,27
300,The Taming of the Shrew,William Shakespeare,05-09-14,12
301,The Secret History of Twin Peaks,Mark Frost,10-18-16,28
302,Tanqueray,Stephanie Johnson,07-12-22,14
303,Too Much Is Not Enough,Andrew Rannells,03-12-19,28
304,Careless Love,Peter Guralnick,11-01-12,16
305,Failing Up,Leslie Odom Jr.,04-10-18,26
306,Love Is a Mix Tape,Rob Sheffield,12-13-06,14
307,Walkable City,Jeff Speck,02-01-13,17
308,The Hero's 2 Journeys,Michael Hauge,12-17-04,13
309,I'll Be There for You: The One about Friends,Kelsey Miller,10-23-18,12
310,None of This Rocks,Joe Trohman,09-13-22,21
311,Eminent Hipsters,Donald Fagen,10-22-13,13
312,A Perfect Red,Amy Butler Greenfield,01-16-14,22
313,They Call Me Supermensch,Shep Gordon,09-20-16,25
314,Iggy Pop,Paul Trynka,07-26-07,22
315,Walt Disney,Neal Gabler,11-16-06,33
316,The Beautiful Fall,Alicia Drake,06-29-12,26
317,The Addiction Formula,Friedemann Findeisen,10-30-17,13
318,Toughness,Jay Bilas,03-08-13,18
319,Where Do I Begin?,Elvis Duran,10-01-19,15
320,The Beatles,Bob Spitz,10-25-05,18
321,The Gardner Heist,Ulrich Boser,08-21-18,21
322,Song of Spider-Man,Glen Berger,05-10-22,18
323,As You Wish,Cary Elwes,10-14-14,13
324,Josephine Tey: The Daughter of Time & Other Mysteries,Josephine Tey,03-25-21,31
325,This Bright Future,Bobby Hall,09-07-21,24
326,The Black Guy Dies First,Robin R. Means Coleman,02-07-23,19
327,Girl Logic,Iliza Shlesinger,11-07-17,17
328,Home Before Daylight,Steve Parish,10-01-19,15
329,The Swerve,Stephen Greenblatt,09-29-11,25
330,Howard Hughes,Peter Harry Brown,01-06-05,26
331,Reckless,Chrissie Hynde,09-08-15,18
332,Springfield Confidential,Mike Reiss,06-12-18,19
333,The Plaza,Julie Satow,06-04-19,17
334,Make Your Art No Matter What,Beth Pickens,04-06-21,14
335,"If I Understood You, Would I Have This Look on My Face?",Alan Alda,06-06-17,15
336,Clapton,Eric Clapton,10-09-07,21
337,Third Girl from the Left,Christine Barker,03-14-23,20
338,From Saturday Night to Sunday Night,Dick Ebersol,09-13-22,18
339,The Actor's Life,Jenna Fischer,12-12-17,17
340,Unfaithful Music & Disappearing Ink,Elvis Costello,10-13-15,26
341,Ride or Die,Shanita Hubbard,11-08-22,22
342,The Bassoon King,Rainn Wilson,11-10-15,18
343,How to Think Like a Great Graphic Designer,Debbie Millman,05-29-13,20
344,Action,Robert McKee,01-24-23,29
345,The War for Late Night,Bill Carter,11-04-10,35
