,Title,Author,Release date,Price $
3409,The Writing Revolution,Judith C. Hochman,07-10-18,21
3410,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3411,The Book Whisperer,Donalyn Miller,02-20-12,21
3412,Art & Fear,David Bayles,04-23-12,14
3413,The Story of Human Language,John McWhorter,07-08-13,42
3414,Mathematical Mindsets,Jo Boaler,03-10-20,21
3415,Washington's Crossing,David Hackett Fischer,05-12-04,30
3416,Culturize,Jimmy Casas,06-30-18,14
3417,The Art of Coaching,Elena Aguilar,08-13-19,21
3418,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3419,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3420,Reference Book,Todd Reeves,06-16-23,7
3421,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3422,Prepared,Mike Glover,06-06-23,24
3423,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3424,The Spell of the Sensuous,David Abram,06-20-17,28
3425,Proust and the Squid,Maryanne Wolf,08-26-08,23
3426,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3427,Grit,Angela Duckworth,05-03-16,15
3428,The Death of Expertise,Tom Nichols,05-23-17,27
3429,The Writing Revolution,Judith C. Hochman,07-10-18,21
3430,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3431,The Book Whisperer,Donalyn Miller,02-20-12,21
3432,Art & Fear,David Bayles,04-23-12,14
3433,The Story of Human Language,John McWhorter,07-08-13,42
3434,Mathematical Mindsets,Jo Boaler,03-10-20,21
3435,Washington's Crossing,David Hackett Fischer,05-12-04,30
3436,Culturize,Jimmy Casas,06-30-18,14
3437,The Art of Coaching,Elena Aguilar,08-13-19,21
3438,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3439,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3440,Reference Book,Todd Reeves,06-16-23,7
3441,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3442,Prepared,Mike Glover,06-06-23,24
3443,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3444,The Spell of the Sensuous,David Abram,06-20-17,28
3445,Proust and the Squid,Maryanne Wolf,08-26-08,23
3446,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3447,Grit,Angela Duckworth,05-03-16,15
3448,The Death of Expertise,Tom Nichols,05-23-17,27
3449,The Writing Revolution,Judith C. Hochman,07-10-18,21
3450,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3451,The Book Whisperer,Donalyn Miller,02-20-12,21
3452,Art & Fear,David Bayles,04-23-12,14
3453,The Story of Human Language,John McWhorter,07-08-13,42
3454,Mathematical Mindsets,Jo Boaler,03-10-20,21
3455,Washington's Crossing,David Hackett Fischer,05-12-04,30
3456,Culturize,Jimmy Casas,06-30-18,14
3457,The Art of Coaching,Elena Aguilar,08-13-19,21
3458,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3459,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3460,Reference Book,Todd Reeves,06-16-23,7
3461,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3462,Prepared,Mike Glover,06-06-23,24
3463,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3464,The Spell of the Sensuous,David Abram,06-20-17,28
3465,Proust and the Squid,Maryanne Wolf,08-26-08,23
3466,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3467,Grit,Angela Duckworth,05-03-16,15
3468,The Death of Expertise,Tom Nichols,05-23-17,27
3469,The Writing Revolution,Judith C. Hochman,07-10-18,21
3470,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3471,The Book Whisperer,Donalyn Miller,02-20-12,21
3472,Art & Fear,David Bayles,04-23-12,14
3473,The Story of Human Language,John McWhorter,07-08-13,42
3474,Mathematical Mindsets,Jo Boaler,03-10-20,21
3475,Washington's Crossing,David Hackett Fischer,05-12-04,30
3476,Culturize,Jimmy Casas,06-30-18,14
3477,The Art of Coaching,Elena Aguilar,08-13-19,21
3478,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3479,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3480,Reference Book,Todd Reeves,06-16-23,7
3481,Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,03-31-16,17
3482,Prepared,Mike Glover,06-06-23,24
3483,CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),Wm. Arthur Conklin,05-30-23,28
3484,The Spell of the Sensuous,David Abram,06-20-17,28
3485,Proust and the Squid,Maryanne Wolf,08-26-08,23
3486,Culturally Responsive Teaching and the Brain,Zaretta Hammond,03-30-23,19
3487,Grit,Angela Duckworth,05-03-16,15
3488,The Death of Expertise,Tom Nichols,05-23-17,27
3489,The Writing Revolution,Judith C. Hochman,07-10-18,21
3490,"Lies My Teacher Told Me, 2nd Edition",Dr. James Loewen,06-13-19,35
3491,The Book Whisperer,Donalyn Miller,02-20-12,21
3492,Art & Fear,David Bayles,04-23-12,14
3493,The Story of Human Language,John McWhorter,07-08-13,42
3494,Mathematical Mindsets,Jo Boaler,03-10-20,21
3495,Washington's Crossing,David Hackett Fischer,05-12-04,30
3496,Culturize,Jimmy Casas,06-30-18,14
3497,The Art of Coaching,Elena Aguilar,08-13-19,21
3498,The Science of Reading in Action,Malia Hollowell,06-14-23,15
3499,What Great Principals Do Differently,Todd Whitaker,01-29-19,14
3500,That Sik Luv,Jescie Hall,07-12-23,25
3501,Art of Seduction,Robert Greene,05-01-15,15
3502,Princes of Chaos,Angel Lawson,07-25-23,30
3503,Conscious Loving,Gay Hendricks PhD,06-20-17,28
3504,Unwanted,Jay Stringer,01-29-19,17
3505,Mating in Captivity,Esther Perel,01-01-06,19
3506,Out of the Shadows,Patrick Carnes,01-25-16,21
3507,Better Sex Through Mindfulness,Lori A. Brotto PhD,11-27-18,17
3508,Our Bodies Tell God's Story,Christopher West,02-07-20,21
3509,The Invisible Orientation,Julie Sondra Decker,09-02-14,20
3510,Intimate Communion,David Deida,07-21-20,17
3511,Breaking the Cycle,George Collins MA,11-17-15,21
3512,The Man's Guide to Women,John Gottman,02-02-16,17
3513,The Mystery Method,Mystery A.K.A. Erik Von Markovik,06-26-07,18
3514,Why Women Have Sex,Cindy M. Meston,11-09-09,24
3515,Female Ejaculation and the G-Spot,Deborah Sundahl,09-28-21,17
3516,What Makes Love Last?,Nan Silver,09-04-12,28
3517,Sexual Personae,Camille Paglia,11-07-17,56
3518,Moving Beyond Betrayal,Vicki Tidwell Palmer LCSW CSAT,07-31-18,14
3519,The Rational Male,Rollo Tomassi,12-27-15,22
3520,That Sik Luv,Jescie Hall,07-12-23,25
3521,Art of Seduction,Robert Greene,05-01-15,15
3522,Princes of Chaos,Angel Lawson,07-25-23,30
3523,Conscious Loving,Gay Hendricks PhD,06-20-17,28
3524,Unwanted,Jay Stringer,01-29-19,17
3525,Mating in Captivity,Esther Perel,01-01-06,19
3526,Out of the Shadows,Patrick Carnes,01-25-16,21
3527,Better Sex Through Mindfulness,Lori A. Brotto PhD,11-27-18,17
3528,Our Bodies Tell God's Story,Christopher West,02-07-20,21
